geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
9868086,Ải Quang,Ai Quang,"Ai Quang,Ải Quang",21.26636,106.07667,P,PPL,VN,,71,222,,,0,,5,Asia/Bangkok,2023-06-26
8201825,Ai Quôc,Ai Quoc,"Ai Quoc,Ai Quôc",21.33797,105.48651,P,PPL,VN,,86,246,,,0,,13,Asia/Bangkok,2023-06-26
1594566,Ải Thôn,Ai Thon,"Ai Thon,Ải Thôn",21.35,106.06667,P,PPL,VN,,71,216,,,0,,10,Asia/Bangkok,2023-06-26
1594565,Ải Thượng,Ai Thuong,,20.33333,105.26667,P,PPL,VN,,34,386,,,0,,119,Asia/Bangkok,2023-06-26
1565760,Ái Tử,Ai Tu,"Ai Tu,Thon Ai Tu,Thôn Ái Tử,Ái Tử",16.76886,107.16504,P,PPLA2,VN,,64,469,,,0,,14,Asia/Bangkok,2023-06-26
1594563,Ai Yin Young,Ai Yin Young,"A Yin Young,Ai Yin Young",15.91667,107.6,P,PPL,VN,,84,504,,,0,,831,Asia/Ho_Chi_Minh,2023-06-26
10338227,Aiq Hotel,Aiq Hotel,,20.24784,105.97506,S,HTL,VN,,59,369,,,0,,7,Asia/Bangkok,2023-06-26
10245116,Alagon Hotel Saigon,Alagon Hotel Saigon,,10.772,106.694,S,HTL,VN,,20,760,,,0,,13,Asia/Ho_Chi_Minh,2023-06-26
10302575,Alba Queen Hotel,Alba Queen Hotel,,16.45,107.562,S,HTL,VN,,66,474,,,0,,19,Asia/Bangkok,2023-06-26
1594556,Ale Iock,Ale Iock,"A Le Loch,Ale Iock,Ale Lock",16.26667,107.18333,P,PPL,VN,,66,481,,,0,,695,Asia/Bangkok,2023-06-26
1594554,Ale Ninh,Ale Ninh,,16.26667,107.16667,P,PPL,VN,,66,481,,,0,,793,Asia/Bangkok,2023-06-26
9886270,Allezboo Beach Resort & Spa,Allezboo Beach Resort & Spa,,10.94201,108.18924,S,HTL,VN,,47,593,,,0,,21,Asia/Ho_Chi_Minh,2023-06-26
10289057,Allura Hotel Hanoi,Allura Hotel Hanoi,,21.02017,105.5115,S,HTL,VN,,44,276,,,0,,17,Asia/Bangkok,2023-06-26
10233325,Alma Courtyard Hoi An,Alma Courtyard Hoi An,,15.88472,108.32722,S,HTL,VN,,84,503,,,0,,12,Asia/Ho_Chi_Minh,2023-06-26
10272589,Alma Oasis Long Hai,Alma Oasis Long Hai,,10.382,107.242,S,HTL,VN,,45,752,,,0,,20,Asia/Ho_Chi_Minh,2023-06-26
1594552,Alou,Alou,,15.8,107.65,T,MT,VN,,84,505,,,0,,1101,Asia/Ho_Chi_Minh,2023-06-26
9867397,Am Bái,Am Bai,"Am Bai,Am Bái",21.46551,106.19861,P,PPL,VN,,71,215,,,0,,17,Asia/Bangkok,2023-06-26
10353942,Am Đông,Am GJong,"Am Dong,Am Đông",18.48485,105.50264,P,PPL,VN,,52,439,,,0,,25,Asia/Bangkok,2023-06-26
1594538,Ấm Hạ,Am Ha,,21.58333,105.03333,P,PPL,VN,,83,231,,,0,,41,Asia/Bangkok,2023-06-26
1594537,Ấm Hạ (2),Am Ha (2),,21.56667,105.03333,P,PPL,VN,,83,231,,,0,,78,Asia/Bangkok,2023-06-26
1594539,Am Hạ Điếm,Am Ha GJiem,,18.23333,106.06667,P,PPL,VN,,52,446,,,0,,5,Asia/Bangkok,2023-06-26
1594532,Am Th,Am Th,,18.21667,106.06667,P,PPL,VN,,52,446,,,0,,6,Asia/Bangkok,2023-06-26
1594531,Ấm Thượng,Am Thuong,"Am Thuong,Ngoi Lua,Ấm Thượng",21.55,105.01667,P,PPL,VN,,83,231,,,0,,25,Asia/Bangkok,2023-06-26
9871505,Am Trứ,Am Tru,"Am Tru,Am Trứ",21.24682,106.18908,P,PPL,VN,,71,221,,,0,,10,Asia/Bangkok,2023-06-26
9886265,Amaryllis Resort,Amaryllis Resort,,10.93472,108.17015,S,HTL,VN,,47,593,,,0,,17,Asia/Ho_Chi_Minh,2023-06-26
9116185,Amazon Bank,Amazon Bank,,11.07571,108.7768,U,RFU,VN,,47,,,,0,,-9999,Asia/Ho_Chi_Minh,2014-06-07
